timestamp,open,high,low,close,volume,vwap,hdfc_vwap,icici_vwap,hdfc_vwap_div,icici_vwap_div
2025-12-03 09:15:00+05:30,59158.7,59356.75,59158.7,59324.4,0,,989.8333333333334,1373.3666666666668,0.09765953864286074,0.0970850222081933
2025-12-03 09:20:00+05:30,59325.6,59327.75,59203.15,59206.0,0,,990.0547360139914,1372.9815706809707,0.04497367365781017,-0.17345977046068747
2025-12-03 09:25:00+05:30,59205.55,59226.6,59083.65,59112.75,0,,989.8830768515596,1373.046778470234,-0.06900581164920844,0.03300845512860451
2025-12-03 09:30:00+05:30,59113.5,59166.45,59064.2,59069.45,0,,989.7473999546826,1373.0603507426292,-0.17655009295933347,-0.033527349499265086
2025-12-03 09:35:00+05:30,59069.65,59122.85,59062.65,59063.5,0,,989.6291606633115,1373.0853604702681,-0.09388978217746413,0.015631914512459755
2025-12-03 09:40:00+05:30,59067.05,59143.15,59062.5,59105.2,0,,989.6223735162056,1373.1416350031764,-0.002260813498594113,0.07707617115704425
2025-12-03 09:45:00+05:30,59103.9,59120.25,59084.1,59109.05,0,,989.5909078364457,1373.2298408786328,-0.019291591599512707,0.09977638706791105
2025-12-03 09:50:00+05:30,59104.3,59126.8,59072.6,59103.95,0,,989.6151912363654,1373.2349862637232,0.08940937563106696,-0.009829800804195765
2025-12-03 09:55:00+05:30,59106.2,59153.7,59079.65,59138.25,0,,989.7916433184639,1373.2401381545392,0.23321642459991965,0.05533350099145636
2025-12-03 10:00:00+05:30,59135.0,59139.9,59014.6,59026.7,0,,989.883786169051,1373.2071374341656,0.10265991272388413,-0.1097531022873669
2025-12-03 10:05:00+05:30,59027.3,59053.4,59004.2,59025.25,0,,989.9802617520627,1373.160421677586,0.11310712861644602,-0.033530071965193926
2025-12-03 10:10:00+05:30,59026.1,59054.5,59019.75,59043.1,0,,990.123662972194,1373.1471666772022,0.1794055726810641,-0.018000013632933087
2025-12-03 10:15:00+05:30,59047.3,59048.7,58970.05,58983.25,0,,990.1755776404557,1373.145470613665,-0.017731970412164594,0.0331013280138241
2025-12-03 10:20:00+05:30,58984.1,59036.0,58978.0,59009.45,0,,990.1816671556204,1373.1700541660389,0.042248090250076635,0.03131045806428871
2025-12-03 10:25:00+05:30,59007.15,59041.6,58987.1,59009.85,0,,990.2032177340112,1373.3624226659822,0.0905654768564586,0.25758512652113513
