timestamp,open,high,low,close,volume,vwap,reliance_vwap,infy_vwap,reliance_vwap_div,infy_vwap_div
2025-12-03 09:15:00+05:30,26004.9,26066.45,26004.4,26031.25,0,,1549.2333333333331,1567.3,1580.2665834713946,1560.8977221974096
2025-12-03 09:20:00+05:30,26029.75,26029.75,26007.75,26007.75,0,,1549.256384301943,1569.7735399299695,1578.724726489893,1556.783563899303
2025-12-03 09:25:00+05:30,26008.25,26011.9,25954.35,25963.05,0,,1548.3353390125865,1570.421837817246,1576.8363639208358,1553.253245388287
2025-12-03 09:30:00+05:30,25962.85,25976.5,25932.05,25933.55,0,,1547.925256348608,1570.1506093272565,1575.374821467446,1551.6600284039907
2025-12-03 09:35:00+05:30,25934.95,25943.2,25922.95,25923.65,0,,1547.6535180015253,1569.4981335345512,1575.0293071717394,1551.7158858685139
2025-12-03 09:40:00+05:30,25923.85,25948.85,25921.85,25943.9,0,,1547.4038799739326,1569.0936826053382,1576.608178107777,1553.432187485613
2025-12-03 09:45:00+05:30,25942.65,25949.9,25933.05,25941.0,0,,1547.112341393303,1568.538318205845,1576.7366729579558,1553.8327243208394
2025-12-03 09:50:00+05:30,25940.45,25945.75,25924.3,25942.5,0,,1546.8482007035009,1568.0680013642373,1577.1199648550805,1554.424424031976
2025-12-03 09:55:00+05:30,25942.65,25952.8,25938.0,25951.55,0,,1546.6293162893242,1567.7956111894212,1577.9424602052031,1555.2891087832325
2025-12-03 10:00:00+05:30,25951.5,25952.75,25909.9,25912.7,0,,1546.2990653104655,1567.53942728677,1575.788376344731,1553.0812271083923
2025-12-03 10:05:00+05:30,25912.55,25915.85,25897.4,25908.45,0,,1545.6311238271228,1567.264980622985,1576.2375964485193,1553.09952817943
2025-12-03 10:10:00+05:30,25908.5,25931.25,25907.15,25928.2,0,,1545.4437252827183,1567.0247207585155,1577.718805015484,1554.6133354839164
2025-12-03 10:15:00+05:30,25929.4,25930.25,25905.6,25912.45,0,,1545.2399074293671,1566.9075840162602,1576.9208376909885,1553.7318642355299
2025-12-03 10:20:00+05:30,25911.9,25933.95,25909.45,25925.15,0,,1545.0599781534984,1566.909212898882,1577.938097327662,1554.5406579132189
2025-12-03 10:25:00+05:30,25926.45,25939.9,25922.1,25922.95,0,,1544.8918964289485,1567.1609700756098,1577.9782494763206,1554.1344823530994
2025-12-03 10:30:00+05:30,25922.65,25930.5,25916.3,25927.25,0,,1544.6548486967802,1567.21520814651,1578.5141367908002,1554.351608204673
2025-12-03 10:35:00+05:30,25928.45,25930.65,25910.4,25913.25,0,,1544.0484556084073,1567.259710271465,1578.2666311977432,1553.411354236342
2025-12-03 10:40:00+05:30,25913.05,25913.35,25896.25,25904.4,0,,1543.4090273411832,1567.2675004243918,1578.38852443576,1552.8384588454423
2025-12-03 10:45:00+05:30,25904.45,25917.05,25901.9,25907.75,0,,1543.2702953115586,1567.4292792011174,1578.7564743977457,1552.881590498589
2025-12-03 10:50:00+05:30,25907.8,25922.15,25904.7,25920.2,0,,1543.0959155612163,1567.5847136308407,1579.753004243612,1553.5119138769617
2025-12-03 10:55:00+05:30,25919.85,25924.0,25914.85,25922.9,0,,1543.002334773213,1568.177587933932,1580.029862288581,1553.0589519617686
2025-12-03 11:00:00+05:30,25923.7,25926.7,25915.3,25918.0,0,,1542.8519729562488,1568.8976641736183,1579.8759994025015,1551.9879270552503
2025-12-03 11:05:00+05:30,25917.7,25921.2,25900.15,25912.5,0,,1542.5672467174593,1569.27702298008,1579.8295215421622,1551.2380937555426
2025-12-03 11:10:00+05:30,25913.45,25922.65,25912.25,25919.65,0,,1542.4390642521414,1569.5237506004016,1580.432673206916,1551.434072920831
2025-12-03 11:15:00+05:30,25919.75,25921.45,25912.05,25912.8,0,,1542.2580119001236,1569.632993203041,1580.1857925234178,1550.8827294157181
2025-12-03 11:20:00+05:30,25912.05,25914.0,25891.0,25893.5,0,,1541.8345319895209,1569.7847283185752,1579.3955163650458,1549.4936874392322
2025-12-03 11:25:00+05:30,25894.7,25912.25,25893.35,25909.35,0,,1541.4802511554674,1570.1147303848988,1580.8097269218201,1550.1564821093402
2025-12-03 11:30:00+05:30,25909.4,25920.35,25906.0,25920.35,0,,1541.29997340839,1570.33608396606,1581.7200056573297,1550.6243640874154
2025-12-03 11:35:00+05:30,25920.1,25945.15,25919.1,25943.3,0,,1541.1740392495528,1570.65335179075,1583.3465487540022,1551.752117704473
2025-12-03 11:40:00+05:30,25943.55,25943.55,25925.65,25930.55,0,,1541.0463166234963,1571.0881104191235,1582.6587053408643,1550.4834979040377
2025-12-03 11:45:00+05:30,25930.8,25936.95,25929.2,25933.55,0,,1540.9190683417555,1571.3035021283354,1582.9923474117384,1550.4481766172435
2025-12-03 11:50:00+05:30,25933.7,25934.9,25926.15,25932.15,0,,1540.831234007782,1571.5569736320824,1582.9974255226598,1550.092897368351
2025-12-03 11:55:00+05:30,25931.6,25934.25,25923.55,25927.3,0,,1540.756588134566,1571.9108604356325,1582.76418219901,1549.412867649163
2025-12-03 12:00:00+05:30,25927.25,25947.1,25926.35,25946.35,0,,1540.6921609826982,1572.1561822025956,1584.0710076340406,1550.3672022997794
2025-12-03 12:05:00+05:30,25945.95,25946.6,25937.7,25944.5,0,,1540.6579164545924,1572.2948020143149,1583.9883612647934,1550.10403689955
2025-12-03 12:10:00+05:30,25943.85,25962.0,25941.5,25952.8,0,,1540.6307022752414,1572.3782287903443,1584.5568481578528,1550.544348986942
2025-12-03 12:15:00+05:30,25951.95,25966.25,25945.05,25963.7,0,,1540.6021544955015,1572.490527545423,1585.295579020029,1551.1196439782696
2025-12-03 12:20:00+05:30,25963.6,25966.85,25957.8,25962.45,0,,1540.586018637214,1572.5522449231942,1585.2320925881247,1550.9753544797518
2025-12-03 12:25:00+05:30,25962.6,25962.75,25948.0,25951.95,0,,1540.5648305132236,1572.6170052195523,1584.5737021891102,1550.239690519998
2025-12-03 12:30:00+05:30,25951.45,25952.6,25933.35,25934.95,0,,1540.517927401044,1572.674861469496,1583.521466300232,1549.0980199026374
2025-12-03 12:35:00+05:30,25934.65,25940.7,25927.6,25929.05,0,,1540.4826675453896,1572.6830361082598,1583.1770033034798,1548.714293006153
