regime_at_entry,trades,wins,losses,win_rate,net_pnl,avg_profit,avg_loss,profit_factor,avg_hold_min,avg_trade_pnl
markdown,487,294,193,60.4,459108.73,1671.92,168.06,15.15,845.4,942.73
markup,564,355,209,62.9,438926.16,1379.86,243.66,9.62,724.2,778.24
accumulation,108,60,48,55.6,81944.5,1577.92,265.22,7.44,642.6,758.75
