volatility_regime,trades,wins,losses,win_rate,net_pnl,avg_profit,avg_loss,profit_factor,avg_hold_min,avg_trade_pnl
low,645,394,251,61.1,510890.97,1408.67,175.79,12.58,730.6,792.08
medium,352,218,134,61.9,334291.41,1642.95,178.14,15.0,785.2,949.69
high,95,57,38,60.0,92725.84,1842.86,324.14,8.53,798.5,976.06
extreme,55,34,21,61.8,64031.47,2089.05,333.15,10.15,875.5,1164.21
unknown,12,8,4,66.7,10187.26,1313.49,80.17,32.77,1088.8,848.94
