entry_month,trades,wins,losses,win_rate,net_pnl,avg_profit,avg_loss,profit_factor,avg_hold_min,avg_trade_pnl
2025-08,7,5,2,71.4,7061.16,1496.27,210.09,17.81,957.9,1008.74
2018-01,10,7,3,70.0,6762.65,1084.18,275.53,9.18,501.0,676.26
2018-10,5,4,1,80.0,6759.26,1758.28,273.85,25.68,291.0,1351.85
2015-09,7,5,2,71.4,6726.48,1388.13,107.08,32.41,1088.6,960.93
2018-04,14,9,5,64.3,6682.93,831.32,159.8,9.36,761.8,477.35
2021-02,5,3,2,60.0,6681.55,2281.68,81.75,41.87,1068.0,1336.31
2023-06,14,8,6,57.1,6636.12,948.57,158.74,7.97,577.5,474.01
2017-07,12,8,4,66.7,6611.15,935.43,218.07,8.58,985.0,550.93
2024-08,7,4,3,57.1,6583.26,1806.86,214.72,11.22,66.4,940.47
2019-06,11,6,5,54.5,6523.15,1216.89,155.64,9.38,880.9,593.01
2015-03,6,4,2,66.7,6431.72,1659.8,103.73,32.0,1085.0,1071.95
2019-08,9,5,4,55.6,6413.56,1405.87,153.94,11.42,1663.3,712.62
2018-08,12,8,4,66.7,6382.81,869.56,143.42,12.13,1000.0,531.9
2025-01,4,3,1,75.0,6322.2,2213.04,316.93,20.95,78.8,1580.55
2022-06,4,2,2,50.0,6127.41,3184.72,121.02,26.32,311.2,1531.85
2015-02,6,5,1,83.3,5686.69,1157.29,99.76,58.0,1402.5,947.78
2019-04,14,7,7,50.0,5659.07,1065.43,256.99,4.15,721.1,404.22
2020-04,4,3,1,75.0,5656.09,1926.22,122.58,47.14,693.8,1414.02
2024-01,5,3,2,60.0,5613.78,1945.21,110.92,26.31,84.0,1122.76
2016-04,15,7,8,46.7,5534.59,1242.36,395.24,2.75,598.0,368.97
2018-02,5,4,1,80.0,5533.85,1404.93,85.87,65.44,876.0,1106.77
2015-11,10,6,4,60.0,5334.14,994.83,158.7,9.4,880.5,533.41
2020-08,4,2,2,50.0,5189.09,2701.69,107.15,25.21,603.8,1297.27
2019-10,7,4,3,57.1,5019.56,1404.42,199.38,9.39,1414.3,717.08
2022-02,3,2,1,66.7,4949.54,2532.74,115.94,43.69,2715.0,1649.85
2018-07,12,7,5,58.3,4688.86,731.42,86.22,11.88,913.8,390.74
2016-06,9,7,2,77.8,4662.76,943.99,972.59,3.4,331.7,518.08
2019-07,9,5,4,55.6,4552.38,1004.83,117.94,10.65,780.0,505.82
2016-10,9,4,5,44.4,4410.11,1242.79,112.21,8.86,1560.0,490.01
2017-08,11,5,6,45.5,3951.33,1009.3,182.53,4.61,533.2,359.21
2019-02,7,4,3,57.1,3844.24,1062.71,135.54,10.45,1097.1,549.18
2019-01,13,4,9,30.8,3809.87,1743.99,351.79,2.2,690.0,293.07
2016-03,7,4,3,57.1,3717.39,1082.96,204.82,7.05,942.9,531.06
2015-05,8,5,3,62.5,3569.78,766.59,87.73,14.56,828.8,446.22
2023-12,8,2,6,25.0,3517.39,2040.78,94.03,7.23,836.2,439.67
2017-06,11,5,6,45.5,3503.03,826.41,104.83,6.57,880.9,318.46
2019-09,12,6,6,50.0,3455.8,736.44,160.47,4.59,827.5,287.98
2023-08,8,4,4,50.0,3406.57,1047.72,196.08,5.34,838.1,425.82
2026-01,4,3,1,75.0,3137.29,1078.23,97.4,33.21,716.2,784.32
2019-12,11,6,5,54.5,3048.1,671.17,195.78,4.11,275.5,277.1
2015-04,8,5,3,62.5,2964.44,681.33,147.41,7.7,838.1,370.56
2016-02,8,5,3,62.5,2847.25,624.28,91.39,11.39,221.2,355.91
2017-05,10,7,3,70.0,2766.43,483.36,205.69,5.48,400.5,276.64
2016-01,1,1,0,100.0,2522.12,2522.12,0.0,inf,135.0,2522.12
2020-01,8,3,5,37.5,2450.48,1062.02,147.12,4.33,1329.4,306.31
2022-10,4,3,1,75.0,2376.78,833.07,122.44,20.41,90.0,594.2
2017-01,10,6,4,60.0,2197.27,502.08,203.8,3.7,184.5,219.73
2023-10,5,2,3,40.0,2187.19,1489.55,263.97,3.76,1872.0,437.44
2020-10,5,1,4,20.0,2114.82,2486.95,93.03,6.68,501.0,422.96
2017-03,13,5,8,38.5,2041.0,697.63,180.89,2.41,617.3,157.0
2021-06,3,2,1,66.7,1961.9,1013.47,65.03,31.17,90.0,653.97
2020-03,2,1,1,50.0,1950.0,2058.83,108.83,18.92,622.5,975.0
2016-08,13,6,7,46.2,1637.44,454.42,155.58,2.5,1044.2,125.96
2016-07,5,2,3,40.0,1498.18,986.64,158.37,4.15,2073.0,299.64
2015-01,2,1,1,50.0,1366.53,1432.22,65.69,21.8,1110.0,683.26
2025-02,5,1,4,20.0,1179.91,1704.11,131.05,3.25,1287.0,235.98
2016-09,10,3,7,30.0,1025.62,721.1,162.52,1.9,688.5,102.56
2017-09,7,2,5,28.6,1015.18,784.03,110.58,2.84,634.3,145.03
2023-04,3,1,2,33.3,968.27,1172.36,102.05,5.74,95.0,322.76
2017-04,6,4,2,66.7,555.27,531.11,784.59,1.35,255.0,92.55
2018-09,1,1,0,100.0,512.31,512.31,0.0,inf,105.0,512.31
2021-03,4,2,2,50.0,424.75,851.89,639.52,1.33,86.2,106.19
2019-05,4,3,1,75.0,-142.36,754.25,2405.11,0.94,112.5,-35.59
2023-03,2,0,2,0.0,-211.97,0.0,105.98,0.0,592.5,-105.98
2024-12,3,0,3,0.0,-326.16,0.0,108.72,0.0,1385.0,-108.72
2021-04,4,2,2,50.0,-1694.38,1282.68,2129.87,0.6,63.8,-423.6
2015-07,6,3,3,50.0,-2310.61,733.82,1504.02,0.49,1087.5,-385.1
2025-09,10,4,6,40.0,-5893.93,931.15,1603.09,0.39,973.5,-589.39
